Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Clique Editing to Support Case Versus Control Discrimination","Intelligent Decision Technologies 2016","","","","10.1007/978-3-319-39630-9_3","Riccardo DondiGiancarlo MauriItalo Zoppis","2016","http://link.springer.com/chapter/10.1007/978-3-319-39630-9_3","Chapter"
"Parallel Rewriting P Systems with Deadlock","DNA Computing","","","","10.1007/3-540-36440-4_27","Daniela BesozziClaudio FerrettiGiancarlo MauriClaudio Zandron","2003","http://link.springer.com/chapter/10.1007/3-540-36440-4_27","Chapter"
"On the power and size of extended gemmating P systems","Soft Computing","","9","9","10.1007/s00500-004-0394-3","Daniela BesozziErzsébet Csuhaj-VarjúGiancarlo MauriClaudio Zandron","2005","http://link.springer.com/article/10.1007/s00500-004-0394-3","Article"
"Identification of Human Behavior Patterns Based on the GSP Algorithm","Information Systems and Technologies to Support Learning","","","","10.1007/978-3-030-03577-8_62","Hector F. Gomez AEdwin Fabricio Lozada T.Luis Antonio LlerenaJorge Alonso Benitez HurtadoRichard Eduardo Ruiz OrdoñezFreddy Giancarlo Salazar CarrilloJoselito Naranjo-SantamariaTeodoro Alvarado Barros","2019","http://link.springer.com/chapter/10.1007/978-3-030-03577-8_62","Chapter"
"A Neural Algorithm for Object Positioning in 3D Space Using Optoelectronic System","Biological and Artificial Intelligence Environments","","","","10.1007/1-4020-3432-6_38","Iuri FrosioGiancarlo FerrignoN. Alberto Borghese","2005","http://link.springer.com/chapter/10.1007/1-4020-3432-6_38","Chapter"
"A Learning Algorithm for Piecewise Linear Regression","Neural Nets WIRN Vietri-01","","","","10.1007/978-1-4471-0219-9_9","Giancarlo Ferrari-TrecateMarco MuselliDiego LiberatiManfred Morari","2002","http://link.springer.com/chapter/10.1007/978-1-4471-0219-9_9","Chapter"
"TinyMAPS: A Lightweight Java-Based Mobile Agent System for Wireless Sensor Networks","Intelligent Distributed Computing V","","","","10.1007/978-3-642-24013-3_16","Francesco AielloGiancarlo FortinoStefano GalzaranoAntonio Vittorioso","2012","http://link.springer.com/chapter/10.1007/978-3-642-24013-3_16","Chapter"
"A Meta-analytical Comparison of Naive Bayes and Random Forest for Software Defect Prediction","Intelligent Systems Design and Applications","","","","10.1007/978-3-031-35501-1_14","Ch Muhammad AwaisWei GuGcinizwe DlaminiZamira KholmatovaGiancarlo Succi","2023","http://link.springer.com/chapter/10.1007/978-3-031-35501-1_14","Chapter"
"Synchronization Effects in a Metabolism-Driven Model of Multi-cellular System","Artificial Life and Evolutionary Computation","","","","10.1007/978-3-030-21733-4_9","Davide MasperoAlex GraudenziSatwinder SinghDario PesciniGiancarlo MauriMarco AntoniottiChiara Damiani","2019","http://link.springer.com/chapter/10.1007/978-3-030-21733-4_9","Chapter"
"Dynamic Management of Forwarding Rules in a T-SDN Architecture with Energy and Bandwidth Constraints","Ad-Hoc, Mobile, and Wireless Networks","","","","10.1007/978-3-030-61746-2_1","Antonio PetrosinoGiancarlo SciddurloGiovanni GriecoAwais Aziz ShahGiuseppe PiroLuigi Alfredo GriecoGennaro Boggia","2020","http://link.springer.com/chapter/10.1007/978-3-030-61746-2_1","Chapter"
